Source,Target,Weight,Label (currently just name of target doc)
dhq-000001,dhq-000002,3.760510439,dhq-000002
dhq-000001,dhq-000003,3.715459645,dhq-000003
dhq-000001,dhq-000004,4.964910163,dhq-000004
dhq-000001,dhq-000005,4.539405037,dhq-000005
dhq-000001,dhq-000006,2.074572463,dhq-000006
dhq-000001,dhq-000007,0.971937596,dhq-000007
dhq-000001,dhq-000008,2.221747419,dhq-000008
dhq-000001,dhq-000009,4.934782496,dhq-000009
dhq-000001,dhq-000010,4.669591555,dhq-000010
dhq-000001,dhq-000011,3.618278813,dhq-000011
dhq-000001,dhq-000012,2.089788098,dhq-000012
dhq-000001,dhq-000013,2.046071292,dhq-000013
dhq-000001,dhq-000014,0.893939052,dhq-000014
dhq-000001,dhq-000015,3.953867813,dhq-000015
dhq-000001,dhq-000016,2.341390526,dhq-000016
dhq-000001,dhq-000017,2.712021456,dhq-000017
dhq-000001,dhq-000018,1.957259916,dhq-000018
dhq-000001,dhq-000019,3.823538457,dhq-000019
dhq-000001,dhq-000020,1.105747693,dhq-000020
dhq-000001,dhq-000021,2.742736146,dhq-000021
dhq-000001,dhq-000022,2.432510874,dhq-000022
dhq-000001,dhq-000023,3.356857262,dhq-000023
dhq-000001,dhq-000024,3.728445204,dhq-000024
dhq-000001,dhq-000025,4.19574645,dhq-000025
dhq-000001,dhq-000026,4.19077216,dhq-000026
dhq-000001,dhq-000027,4.227405185,dhq-000027
dhq-000001,dhq-000028,4.26373084,dhq-000028
dhq-000001,dhq-000029,3.312688442,dhq-000029
dhq-000001,dhq-000030,3.441795154,dhq-000030
dhq-000001,dhq-000031,2.545606811,dhq-000031
dhq-000001,dhq-000032,7.787403754,dhq-000032
dhq-000001,dhq-000033,4.377262444,dhq-000033
dhq-000001,dhq-000034,5.355176338,dhq-000034
dhq-000001,dhq-000035,4.490390523,dhq-000035
dhq-000001,dhq-000036,3.074369634,dhq-000036
dhq-000001,dhq-000037,1.776609074,dhq-000037
dhq-000001,dhq-000038,2.977636436,dhq-000038
dhq-000001,dhq-000039,3.311227916,dhq-000039
dhq-000001,dhq-000040,2.066509459,dhq-000040
dhq-000001,dhq-000041,3.129852071,dhq-000041
dhq-000001,dhq-000042,5.047762009,dhq-000042
dhq-000001,dhq-000043,4.35440599,dhq-000043
dhq-000001,dhq-000044,4.63579629,dhq-000044
dhq-000001,dhq-000045,2.749529135,dhq-000045
dhq-000001,dhq-000046,1.865948203,dhq-000046
dhq-000001,dhq-000047,2.608668739,dhq-000047
dhq-000001,dhq-000048,1.95158851,dhq-000048
dhq-000001,dhq-000049,2.147940006,dhq-000049
dhq-000001,dhq-000050,1.53440646,dhq-000050
dhq-000001,dhq-000051,3.16717592,dhq-000051
dhq-000001,dhq-000052,3.384759501,dhq-000052
dhq-000001,dhq-000053,1.892229818,dhq-000053
dhq-000001,dhq-000054,3.548534392,dhq-000054
dhq-000001,dhq-000055,0.710213752,dhq-000055
dhq-000001,dhq-000056,2.160296555,dhq-000056
dhq-000001,dhq-000057,2.919508377,dhq-000057
dhq-000001,dhq-000058,3.143407273,dhq-000058
dhq-000001,dhq-000059,2.289122555,dhq-000059
dhq-000001,dhq-000060,2.524825731,dhq-000060
dhq-000001,dhq-000061,3.867195309,dhq-000061
dhq-000001,dhq-000062,3.780611812,dhq-000062
dhq-000001,dhq-000063,2.880556442,dhq-000063
dhq-000001,dhq-000064,5.278605043,dhq-000064
