Source,Target,Weight,Label (topic #)
dhq-000001,22,0.241527643,22
dhq-000001,32,0.34625488,32
dhq-000001,38,0.158711598,38
dhq-000002,22,0.216433468,22
dhq-000002,34,0.482882374,34
dhq-000002,38,0.149982564,38
dhq-000003,10,0.453278005,10
dhq-000003,38,0.199579206,38
dhq-000004,22,0.102487882,22
dhq-000004,24,0.585712878,24
dhq-000004,38,0.192942387,38
dhq-000005,8,0.516225778,8
dhq-000005,22,0.146327303,22
dhq-000005,38,0.142906422,38
dhq-000006,0,0.26114233,0
dhq-000006,35,0.163617948,35
dhq-000006,36,0.168875725,36
dhq-000006,38,0.231234639,38
dhq-000007,0,0.335667759,0
dhq-000007,32,0.215417288,32
dhq-000007,38,0.222623562,38
dhq-000008,0,0.224176633,0
dhq-000008,35,0.184447626,35
dhq-000008,36,0.11278759,36
dhq-000008,38,0.271220541,38
dhq-000009,4,0.636010931,4
dhq-000009,38,0.160426554,38
dhq-000010,13,0.551155142,13
dhq-000010,22,0.14912758,22
dhq-000010,38,0.239554522,38
dhq-000011,22,0.219305752,22
dhq-000011,27,0.377425003,27
dhq-000011,38,0.164106527,38
dhq-000012,21,0.534127036,21
dhq-000012,22,0.180425364,22
dhq-000012,38,0.193356952,38
dhq-000013,0,0.381876146,0
dhq-000013,4,0.173890205,4
dhq-000013,32,0.1379474,32
dhq-000013,38,0.212669977,38
dhq-000014,0,0.404081692,0
dhq-000014,22,0.253404537,22
dhq-000014,38,0.169602903,38
dhq-000015,6,0.545245874,6
dhq-000015,22,0.140971999,22
dhq-000015,38,0.179856012,38
dhq-000016,0,0.113415196,0
dhq-000016,14,0.311716224,14
dhq-000016,36,0.114775436,36
dhq-000016,38,0.253764182,38
dhq-000017,0,0.102570771,0
dhq-000017,19,0.409512319,19
dhq-000017,22,0.128204229,22
dhq-000017,38,0.144837272,38
dhq-000018,5,0.22915794,5
dhq-000018,19,0.292701238,19
dhq-000018,22,0.166609441,22
dhq-000018,38,0.148242679,38
dhq-000019,22,0.119515579,22
dhq-000019,30,0.584894457,30
dhq-000019,38,0.200807704,38
dhq-000020,0,0.116867009,0
dhq-000020,14,0.127541612,14
dhq-000020,22,0.121608299,22
dhq-000020,32,0.138117294,32
dhq-000020,38,0.237548279,38
dhq-000021,0,0.170204145,0
dhq-000021,25,0.288856967,25
dhq-000021,36,0.159912133,36
dhq-000021,38,0.171341009,38
dhq-000022,0,0.212220146,0
dhq-000022,20,0.238197136,20
dhq-000022,36,0.132397225,36
dhq-000022,38,0.157521399,38
dhq-000023,25,0.44323376,25
dhq-000023,38,0.193729612,38
dhq-000024,20,0.444377957,20
dhq-000024,38,0.232573513,38
dhq-000025,0,0.113649618,0
dhq-000025,10,0.307820192,10
dhq-000025,20,0.117444979,20
dhq-000025,38,0.248574664,38
dhq-000026,7,0.447232235,7
dhq-000026,38,0.257301085,38
dhq-000027,29,0.518578306,29
dhq-000027,38,0.201044844,38
dhq-000028,20,0.100086282,20
dhq-000028,22,0.118688074,22
dhq-000028,33,0.373200383,33
dhq-000028,38,0.248531882,38
dhq-000029,20,0.504723695,20
dhq-000029,22,0.132568199,22
dhq-000029,38,0.262976397,38
dhq-000030,22,0.117532956,22
dhq-000030,31,0.350059815,31
dhq-000030,38,0.239273039,38
dhq-000031,16,0.345500008,16
dhq-000031,38,0.197178983,38
dhq-000032,18,0.797585484,18
dhq-000032,38,0.149358531,38
dhq-000033,29,0.552399308,29
dhq-000033,38,0.199101538,38
dhq-000034,25,0.479071466,25
dhq-000034,29,0.120225888,29
dhq-000034,38,0.227862152,38
dhq-000035,25,0.413988837,25
dhq-000035,38,0.243432803,38
dhq-000036,0,0.114641794,0
dhq-000036,14,0.119143562,14
dhq-000036,20,0.177159231,20
dhq-000036,36,0.12674688,36
dhq-000036,38,0.197597071,38
dhq-000037,22,0.169528288,22
dhq-000037,31,0.127271036,31
dhq-000037,36,0.123337141,36
dhq-000037,38,0.231653265,38
dhq-000038,10,0.405488481,10
dhq-000038,36,0.136530293,36
dhq-000038,38,0.277359217,38
dhq-000039,31,0.448042613,31
dhq-000039,38,0.23272876,38
dhq-000040,3,0.132529366,3
dhq-000040,22,0.135774464,22
