Source,Target,Weight,Label
dhq-000001,sutherland1997,2,sutherland1997
dhq-000001,hockey2000,2,hockey2000
dhq-000001,mcgann2001,2,mcgann2001
dhq-000001,schreibman2004,2,schreibman2004
dhq-000002,king2003,1,king2003
dhq-000002,alonzo2006,2,alonzo2006
dhq-000002,glassner2004,1,glassner2004
dhq-000002,gee2004,2,gee2004
dhq-000002,frasca2003,1,frasca2003
dhq-000002,fable2005,1,fable2005
dhq-000002,ryan2001,2,ryan2001
dhq-000002,cowart1977,1,cowart1977
dhq-000002,mendelson1978,1,mendelson1978
dhq-000002,pynchon1964,5,pynchon1964
dhq-000002,rollings2003,2,rollings2003
dhq-000002,salen2004,4,salen2004
dhq-000002,propp1968,2,propp1968
dhq-000002,juul2005,5,juul2005
dhq-000002,zimmerman2004,2,zimmerman2004
dhq-000002,montfort2003,2,montfort2003
dhq-000002,campbell1949,3,campbell1949
dhq-000002,kucklich2996,1,kucklich2996
dhq-000002,erickson1996,2,erickson1996
dhq-000002,davis1998,1,davis1998
dhq-000002,ulmer2002,1,ulmer2002
dhq-000002,bolter1999,2,bolter1999
dhq-000002,aarseth2000,3,aarseth2000
dhq-000002,bateman2005,1,bateman2005
dhq-000002,eskelinen2004,1,eskelinen2004
dhq-000002,natkin2006,3,natkin2006
dhq-000002,szulborski2005,1,szulborski2005
dhq-000002,tronstad2001,5,tronstad2001
dhq-000002,frye1957,3,frye1957
dhq-000002,tosca2003,7,tosca2003
dhq-000002,jenkins2004,3,jenkins2004
dhq-000002,neugebauer2006,2,neugebauer2006
dhq-000002,kimbrell2006,2,kimbrell2006
dhq-000002,elder2006,1,elder2006
dhq-000002,losh2006,2,losh2006
dhq-000002,novak2005,2,novak2005
dhq-000002,aarseth2004,3,aarseth2004
dhq-000002,aarseth1997,2,aarseth1997
dhq-000002,vogler1998,1,vogler1998
dhq-000002,kelly2004,2,kelly2004
dhq-000003,bender1994,3,bender1994
dhq-000003,woods1995,2,woods1995
dhq-000003,cobb1997,1,cobb1997
dhq-000003,oed2006,1,oed2006
dhq-000003,thomas1999,2,thomas1999
dhq-000003,minkel2003,2,minkel2003
dhq-000003,about2006a,1,about2006a
dhq-000003,haywood1998,2,haywood1998
dhq-000003,bass1999,3,bass1999
dhq-000003,meulen2003,2,meulen2003
dhq-000003,bender1986,2,bender1986
dhq-000003,hay1894,2,hay1894
dhq-000003,geertz1973,2,geertz1973
dhq-000003,shiroma2000,2,shiroma2000
dhq-000003,britton1997,2,britton1997
dhq-000003,zhao2004,2,zhao2004
dhq-000003,bates2003,2,bates2003
